ds,Predicted Sales
2025-12-31,22967.32502918473
2026-01-01,25667.956016443488
2026-01-02,27204.20780234423
2026-01-03,29392.29790752339
2026-01-04,29495.333961028467
2026-01-05,23799.810202533045
2026-01-06,26431.52605529134
2026-01-07,27011.730588473696
2026-01-08,27235.225258032737
2026-01-09,27226.36645877468
2026-01-10,26828.265692832887
2026-01-11,26442.517075121632
2026-01-12,26865.543280601993
2026-01-13,26936.49228119882
2026-01-14,26921.962884642417
2026-01-15,26867.40846782521
2026-01-16,26807.982935310087
2026-01-17,26810.04960452904
2026-01-18,26868.563895274874
2026-01-19,26868.6159794079
2026-01-20,26857.026871018596
2026-01-21,26846.228138483304
2026-01-22,26843.130441377973
2026-01-23,26849.33662574428
2026-01-24,26855.459339298894
2026-01-25,26853.217302274497
2026-01-26,26850.66088895652
2026-01-27,26849.657568927138
2026-01-28,26850.289139305787
2026-01-29,26851.47589505444
2026-01-30,26851.774979241716
2026-01-31,26851.162240567057
2026-02-01,26850.830930835495
2026-02-02,26850.870288140086
2026-02-03,26851.075231675422
2026-02-04,26851.199693658462
2026-02-05,26851.14780977931
2026-02-06,26851.045654111393
2026-02-07,26851.02871913156
2026-02-08,26851.062673538247
2026-02-09,26851.094057409962
2026-02-10,26851.0960012819
2026-02-11,26851.078464436243
2026-02-12,26851.067525898416
2026-02-13,26851.071489674796
2026-02-14,26851.07857322863
2026-02-15,26851.081014626256
2026-02-16,26851.078720292964
2026-02-17,26851.075897155755
2026-02-18,26851.075570215646
2026-02-19,26851.07692557709
2026-02-20,26851.077797027247
2026-02-21,26851.077636556798
2026-02-22,26851.077072481625
2026-02-23,26851.07681570854
2026-02-24,26851.076979300855
2026-02-25,26851.07720989287
2026-02-26,26851.077250230308
2026-02-27,26851.077156791474
2026-02-28,26851.07707922828
2026-03-01,26851.07708314905
2026-03-02,26851.077127970257
2026-03-03,26851.0771513747
2026-03-04,26851.077140775687
2026-03-05,26851.07712271672
2026-03-06,26851.077117605346
2026-03-07,26851.077124245967
2026-03-08,26851.07713092268
2026-03-09,26851.07713118647
2026-03-10,26851.07712778688
2026-03-11,26851.077125717533
2026-03-12,26851.077126293785
2026-03-13,26851.077127735774
2026-03-14,26851.077128272165
2026-03-15,26851.077127807985
2026-03-16,26851.077127256212
2026-03-17,26851.07712718575
2026-03-18,26851.077127435154
2026-03-19,26851.077127618522
2026-03-20,26851.077127592405
2026-03-21,26851.077127479024
2026-03-22,26851.077127427638
2026-03-23,26851.07712745821
2026-03-24,26851.077127502984
2026-03-25,26851.077127512846
2026-03-26,26851.07712749473
2026-03-27,26851.077127478933
2026-03-28,26851.077127479464
2026-03-29,26851.07712748816
2026-03-30,26851.077127492896
